93,Honda,Odyssey,MINIVAN,JAPON,239990000
94,Honda,Pilot,SEDAN,JAPON,215990000
95,Honda,WR-V,MINIVAN,JAPON,83990000
96,Hyundai,Accent,SEDAN,COREA,62990000
97,Hyundai,Getz,HATCHBACK,COREA,62490000
98,Hyundai,Graviti,SUV,COREA,70990000
99,Hyundai,Kona,SUV,COREA,139990000
100,Hyundai,Palisade,SUV,COREA,234990000
101,Hyundai,Staria,VAN,COREA,114990000
102,Hyundai,Tucson,SUV,COREA,111990000
103,Hyundai,Venue,SUV,COREA,99990000
104,Jaguar,E-Pace,SUV,GRAN BRETAÑA,385000000
105,Jaguar,F-Pace,SUV,GRAN BRETAÑA,439900000
106,Jaguar,F-Type,COUPE,GRAN BRETAÑA,515900000
107,Jaguar,I-Pace,SUV,GRAN BRETAÑA,522900000
108,Jaguar,XE,SEDAN,GRAN BRETAÑA,713700000
109,Jeep,Commander,SUV,BRASIL,204990000
110,Jeep,Compass,SUV,BRASIL,157990000
111,Jeep,Gladiator,SUV,ESTADOS UNIDOS,364990000
112,Jeep,Renegade,SUV,BRASIL,129990000
113,Jeep,Wrangler,SUV,ESTADOS UNIDOS,299990000
114,KIA,Carnival,STATION WAGON,COREA,249990000
115,KIA,Cerato,SEDAN,COREA,82290000
116,KIA,Niro,SUV,COREA,124490000
117,KIA,Picanto,HATCHBACK,COREA,52190000
118,KIA,Picanto GT Line,HATCHBACK,COREA,66090000
119,KIA,Picanto X Line,HATCHBACK,COREA,66090000
120,KIA,Rio,HATCHBACK,COREA,73990000
121,KIA,Rio,SEDAN,COREA,73990000
122,KIA,Seltos,SUV,COREA,105890000
123,KIA,Sonet,SUV,COREA,91890000
124,KIA,Sportage,SUV,COREA,141490000
125,KIA,Stonic,SUV,COREA,89490000
126,Land Rover,Defender,SUV,GRAN BRETAÑA,509900000
127,Land Rover,Discovery,SUV,GRAN BRETAÑA,552900000
128,Land Rover,Discovery Sport,SUV,GRAN BRETAÑA,255900000
129,Land Rover,Range Rover,SUV,GRAN BRETAÑA,1100000000
130,Land Rover,Range Rover Evoque,SUV,GRAN BRETAÑA,232900000
131,Land Rover,Range Rover Sport,SUV,GRAN BRETAÑA,449000000
132,Land Rover,Range Rover Velar,SUV,GRAN BRETAÑA,379900000
133,Mazda,2,HATCHBACK,JAPON,77200000
134,Mazda,2,SEDAN,JAPON,78350000
135,Mazda,3,SEDAN,JAPON,"102,650,000"
136,Mazda,3 Sedan hybrid,SEDAN,JAPON,112450000
137,Mazda,CX-30,SUV,JAPON,109500000
138,Mazda,CX-30 Hybrid,SUV,JAPON,130400000
139,Mazda,CX-5,SUV,JAPON,140400000
140,Mazda,CX-9,SUV,JAPON,226900000
141,Mazda,MX-5,CONVERTIBLE,JAPON,163050000
142,Mercedes,Clase A,HATCHBACK,ALEMANIA,145990000
143,Mercedes,Clase A,SEDAN,ALEMANIA,165990000
144,Mercedes,Clase A SedÃ¡n AMG,SEDAN,ALEMANIA,229900000
145,Mercedes,Clase B,MINIVAN,ALEMANIA,262700000
146,Mercedes,Clase C,CONVERTIBLE,ALEMANIA,285900000
147,Mercedes,Clase C,COUPE,ALEMANIA,180900000
148,Mercedes,Clase C CoupÃ© AMG,COUPE,ALEMANIA,213600000
149,Mercedes,Clase C,SEDAN,ALEMANIA,206900000
150,Mercedes,Clase C SedÃ¡n AMG,SEDAN,ALEMANIA,206900000
151,Mercedes,Clase CLA,SEDAN,ALEMANIA,198700000
152,Mercedes,Clase CLA AMG,SEDAN,ALEMANIA,217900000
153,Mercedes,Clase E,SEDAN,ALEMANIA,220900000
154,Mercedes,Clase GLA,SUV,ALEMANIA,174900000
155,Mercedes,Clase GLB,SUV,ALEMANIA,182900000
156,Mercedes,Clase GLC,SUV,ALEMANIA,257900000
157,Mercedes,Clase GLE,SUV,ALEMANIA,330900000
158,Mercedes,Clase GLS,SUV,ALEMANIA,409900000
159,Mercedes,Clase S,SEDAN,ALEMANIA,522600000
160,MINI,Cooper,HATCHBACK,GRAN BRETAÑA,124900000
161,MINI,Cooper Cabrio,CONVERTIBLE,GRAN BRETAÑA,187900000
162,MINI,Cooper Clubman,STATION WAGON,GRAN BRETAÑA,160000000
163,MINI,Cooper Countryman,SUV,GRAN BRETAÑA,142900000
164,Mitsubishi,ASX,SUV,JAPON,142900000
165,Mitsubishi,Eclipse Cross,SUV,JAPON,147900000
166,Mitsubishi,L200,PICK UP,TAILANDIA,169900000
167,Mitsubishi,Montero Sport Takai,SUV,TAILANDIA,203900000
168,Mitsubishi,Outlander,SUV,JAPON,221500000
169,Mitsubishi,Outlander PHEV,SUV,JAPON,239900000
170,Mitsubishi,Xpander,STATION WAGON,JAPON,112900000
171,Mitsubishi ,Xpander Cross,STATION WAGON,JAPON,123900000
172,Peugeot,2008,SUV,FRANCIA,"105,990,000"
173,Peugeot,2008 Style,SUV,FRANCIA,92990000
174,Peugeot,3008,SUV,ALEMANIA,147500000
175,Peugeot,5008,SUV,ESPAÑA,165990000
